yyyymm	yyyymm2	av	hi
1927/11/11	1927/11/20	10.7	21.4
1927/11/21	1927/11/30	9.8	20.5
1927/12/1	1927/12/10	8.1	19.4
1927/12/11	1927/12/20	5.7	15.2
1927/12/21	1927/12/31	2.9	12.3
1928/1/1	1928/1/10	1.7	14.7
1928/1/11	1928/1/20	3.4	15.2
1928/1/21	1928/1/31	3.8	14.7
1928/2/1	1928/2/10	1.9	10.1
1928/2/11	1928/2/20	2.6	11.5
1928/2/21	1928/2/29	4	15.4
1928/3/1	1928/3/10	5.2	19.8
1928/3/11	1928/3/20	6.5	20
1928/3/21	1928/3/31	8.1	21.6
1928/4/1	1928/4/10	11.2	21.6
1928/4/11	1928/4/20	14.6	23.2
1928/4/21	1928/4/30	12.8	27.4
1928/5/1	1928/5/10	16.7	23.9
1928/5/11	1928/5/20	18.8	28.9
1928/5/21	1928/5/31	20.2	30.5
1928/6/1	1928/6/10	19.9	29.1
1928/6/11	1928/6/20	20.8	27.7
1928/6/21	1928/6/30	21.3	30
1928/7/1	1928/7/10	24.6	32.7
1928/7/11	1928/7/20	25.7	33.6
1928/7/21	1928/7/31	24.9	32.3
1928/8/1	1928/8/10	24.5	32
1928/8/11	1928/8/20	26	33.4
1928/8/21	1928/8/31	25.3	32.7
1928/9/1	1928/9/10	25.4	34.1
1928/9/11	1928/9/20	24.5	32.4
1928/9/21	1928/9/30	20.9	30.8
1928/10/1	1928/10/10	16.7	24.2
1928/10/11	1928/10/20	15.8	24.3
1928/10/21	1928/10/31	17.2	24.8
1928/11/1	1928/11/10	12.8	22.2
1928/11/11	1928/11/20	11.3	22.3
1928/11/21	1928/11/30	9.5	19.3
1928/12/1	1928/12/10	7	16.2
1928/12/11	1928/12/20	4.1	12.6
1928/12/21	1928/12/31	3.7	11.9
1929/1/1	1929/1/10	-0.1	9.5
1929/1/11	1929/1/20	2.8	12
1929/1/21	1929/1/31	1	11.6
1929/2/1	1929/2/10	1.6	9.9
1929/2/11	1929/2/20	1	11.5
1929/2/21	1929/2/28	3.8	17.2
1929/3/1	1929/3/10	4.2	15.4
1929/3/11	1929/3/20	4.2	19
1929/3/21	1929/3/31	9.8	22
1929/4/1	1929/4/10	11.2	21.3
1929/4/11	1929/4/20	12.4	26.9
1929/4/21	1929/4/30	14.2	26.6
1929/5/1	1929/5/10	14.9	25.5
1929/5/11	1929/5/20	16.1	24.9
1929/5/21	1929/5/31	17.6	25.3
1929/6/1	1929/6/10	21.1	32.8
1929/6/11	1929/6/20	20.7	28.6
1929/6/21	1929/6/30	22.2	30
1929/7/1	1929/7/10	23.9	31.5
1929/7/11	1929/7/20	27.9	35.6
1929/7/21	1929/7/31	27.3	35.7
1929/8/1	1929/8/10	28	36.6
1929/8/11	1929/8/20	27	34.1
1929/8/21	1929/8/31	25.2	34
1929/9/1	1929/9/10	22.7	33.1
1929/9/11	1929/9/20	20.1	28.7
1929/9/21	1929/9/30	20.4	29.4
1929/10/1	1929/10/10	18.8	27
1929/10/11	1929/10/20	16.1	24.6
1929/10/21	1929/10/31	14.9	24.3
1929/11/1	1929/11/10	12.4	21.1
1929/11/11	1929/11/20	10.4	19.5
1929/11/21	1929/11/30	7.9	17.9
1929/12/1	1929/12/10	7.7	18.5
1929/12/11	1929/12/20	12.3	20.9
1929/12/21	1929/12/31	5.3	13.1
1930/1/1	1930/1/10	2.1	10.4
1930/1/11	1930/1/20	3.3	12.1
1930/1/21	1930/1/31	3.5	12.4
1930/2/1	1930/2/10	3.3	11.4
1930/2/11	1930/2/20	3	15.1
1930/2/21	1930/2/28	7.9	19.8
1930/3/1	1930/3/10	6.4	14
1930/3/11	1930/3/20	8	17.4
1930/3/21	1930/3/31	11.5	23.1
1930/4/1	1930/4/10	12.3	24.4
1930/4/11	1930/4/20	14.8	28.5
1930/4/21	1930/4/30	14.6	23.6
1930/5/1	1930/5/10	15.6	24.4
1930/5/11	1930/5/20	18.1	26.7
1930/5/21	1930/5/31	18.1	29.4
1930/6/1	1930/6/10	20.6	30.7
1930/6/11	1930/6/20	21.5	30.2
1930/6/21	1930/6/30	22.7	31.7
1930/7/1	1930/7/10	25.7	34
1930/7/11	1930/7/20	27.9	35.8
1930/7/21	1930/7/31	26.3	33.6
1930/8/1	1930/8/10	27	34
1930/8/11	1930/8/20	26.6	32.9
1930/8/21	1930/8/31	27.3	35.1
1930/9/1	1930/9/10	24.4	33.5
1930/9/11	1930/9/20	21.8	31.6
1930/9/21	1930/9/30	18.6	26.6
1930/10/1	1930/10/10	17.5	26.5
1930/10/11	1930/10/20	16.5	25.7
1930/10/21	1930/10/31	15.6	25.5
1930/11/1	1930/11/10	11.3	20.8
1930/11/11	1930/11/20	8	19.1
1930/11/21	1930/11/30	7.4	17.1
1930/12/1	1930/12/10	6.6	15.7
1930/12/11	1930/12/20	6	17.2
1930/12/21	1930/12/31	4.1	13.7
1931/1/1	1931/1/10	4.8	15
1931/1/11	1931/1/20	1	10
1931/1/21	1931/1/31	2.6	14
1931/2/1	1931/2/10	4.5	16
1931/2/11	1931/2/20	2.6	11.1
1931/2/21	1931/2/28	3.1	11
1931/3/1	1931/3/10	4.8	16.2
1931/3/11	1931/3/20	8	18.7
1931/3/21	1931/3/31	8.7	21.5
1931/4/1	1931/4/10	7.9	19.6
1931/4/11	1931/4/20	11.7	22.5
1931/4/21	1931/4/30	14.6	23.1
1931/5/1	1931/5/10	15.5	25.7
1931/5/11	1931/5/20	16.5	27.7
1931/5/21	1931/5/31	17.5	26.1
1931/6/1	1931/6/10	20.1	31.3
1931/6/11	1931/6/20	20.7	28.7
1931/6/21	1931/6/30	22.5	30.3
1931/7/1	1931/7/10	24.1	33.6
1931/7/11	1931/7/20	22.3	32.5
1931/7/21	1931/7/31	22.7	31
1931/8/1	1931/8/10	26.2	33.4
1931/8/11	1931/8/20	26.8	33.9
1931/8/21	1931/8/31	26.1	34.9
1931/9/1	1931/9/10	24.6	33.9
1931/9/11	1931/9/20	23.6	32.7
1931/9/21	1931/9/30	20.6	28.8
1931/10/1	1931/10/10	19.4	29
1931/10/11	1931/10/20	15.9	25.5
1931/10/21	1931/10/31	12	21.7
1931/11/1	1931/11/10	13	22
1931/11/11	1931/11/20	12.6	24
1931/11/21	1931/11/30	9.3	20.3
1931/12/1	1931/12/10	7.2	18.3
1931/12/11	1931/12/20	4.5	15.5
1931/12/21	1931/12/31	5.8	17
1932/1/1	1932/1/10	5.1	15.7
1932/1/11	1932/1/20	4.2	14.5
1932/1/21	1932/1/31	5.8	14.9
1932/2/1	1932/2/10	3.8	13.7
1932/2/11	1932/2/20	3.3	15.2
1932/2/21	1932/2/29	1.9	10.6
1932/3/1	1932/3/10	5.7	18.5
1932/3/11	1932/3/20	6.3	19.3
1932/3/21	1932/3/31	6	16.3
1932/4/1	1932/4/10	10.8	24.2
1932/4/11	1932/4/20	10.5	22.8
1932/4/21	1932/4/30	12.8	25.4
1932/5/1	1932/5/10	15.8	24.5
1932/5/11	1932/5/20	17.8	27.7
1932/5/21	1932/5/31	18.4	27.3
1932/6/1	1932/6/10	20.4	27.5
1932/6/11	1932/6/20	21.2	28.7
1932/6/21	1932/6/30	20.6	27.7
1932/7/1	1932/7/10	22.8	29.7
1932/7/11	1932/7/20	26.5	33.9
1932/7/21	1932/7/31	29.1	38.2
1932/8/1	1932/8/10	26.9	35.8
1932/8/11	1932/8/20	26.1	32.6
1932/8/21	1932/8/31	25.8	32.3
1932/9/1	1932/9/10	24.8	32.4
1932/9/11	1932/9/20	21.8	29.3
1932/9/21	1932/9/30	19.5	26.5
1932/10/1	1932/10/10	17.3	27.9
1932/10/11	1932/10/20	14.9	23.7
1932/10/21	1932/10/31	13.4	23.5
1932/11/1	1932/11/10	12.1	23.1
1932/11/11	1932/11/20	9.2	21
1932/11/21	1932/11/30	9.2	18
1932/12/1	1932/12/10	7.4	15.5
1932/12/11	1932/12/20	4.6	14.2
1932/12/21	1932/12/31	4.8	13.5
1933/1/1	1933/1/10	4.2	13.6
1933/1/11	1933/1/20	2.3	10.9
1933/1/21	1933/1/31	1.3	9.7
1933/2/1	1933/2/10	2.9	12.5
1933/2/11	1933/2/20	2.5	11.3
1933/2/21	1933/2/28	3	13.2
1933/3/1	1933/3/10	3.3	12.5
1933/3/11	1933/3/20	4.7	14.3
1933/3/21	1933/3/31	8	18.7
1933/4/1	1933/4/10	12.3	22.8
1933/4/11	1933/4/20	11.8	21.3
1933/4/21	1933/4/30	14.1	22.5
1933/5/1	1933/5/10	17	28.6
1933/5/11	1933/5/20	19.3	31.4
1933/5/21	1933/5/31	19.2	26.7
1933/6/1	1933/6/10	20.9	30.4
1933/6/11	1933/6/20	21.8	30.5
1933/6/21	1933/6/30	24.6	33.8
1933/7/1	1933/7/10	26	34.8
1933/7/11	1933/7/20	26.6	34.8
1933/7/21	1933/7/31	27.6	36.8
1933/8/1	1933/8/10	26.5	34.7
1933/8/11	1933/8/20	27.2	34.6
1933/8/21	1933/8/31	26.5	33.6
1933/9/1	1933/9/10	25	34.2
1933/9/11	1933/9/20	23.5	34.7
1933/9/21	1933/9/30	18.7	27.8
1933/10/1	1933/10/10	18.4	26.8
1933/10/11	1933/10/20	17.2	25.7
1933/10/21	1933/10/31	13.1	23.5
1933/11/1	1933/11/10	11.3	21.3
1933/11/11	1933/11/20	11.2	22.5
1933/11/21	1933/11/30	9	18.7
1933/12/1	1933/12/10	8.2	17.5
1933/12/11	1933/12/20	4.7	14.1
1933/12/21	1933/12/31	3.8	12.2
1934/1/1	1934/1/10	1.8	9.6
1934/1/11	1934/1/20	0.8	8
1934/1/21	1934/1/31	0.3	10
1934/2/1	1934/2/10	2.9	11.6
1934/2/11	1934/2/20	2.4	13
1934/2/21	1934/2/28	3	13.4
1934/3/1	1934/3/10	2.1	12.1
1934/3/11	1934/3/20	6.5	21
1934/3/21	1934/3/31	7.9	20.8
1934/4/1	1934/4/10	9.3	21.7
1934/4/11	1934/4/20	11.1	23.4
1934/4/21	1934/4/30	14.3	23.4
1934/5/1	1934/5/10	15.6	27.1
1934/5/11	1934/5/20	18.3	28.4
1934/5/21	1934/5/31	18.9	30.4
1934/6/1	1934/6/10	20.4	30.5
1934/6/11	1934/6/20	20.8	27.7
1934/6/21	1934/6/30	24.2	34
1934/7/1	1934/7/10	28.1	37.2
1934/7/11	1934/7/20	24.1	33
1934/7/21	1934/7/31	26	33.9
1934/8/1	1934/8/10	26.8	34.2
1934/8/11	1934/8/20	26.9	36.2
1934/8/21	1934/8/31	25.7	33.2
1934/9/1	1934/9/10	23.7	30.2
1934/9/11	1934/9/20	22.6	31.4
1934/9/21	1934/9/30	19.5	27.5
1934/10/1	1934/10/10	16.1	28.1
1934/10/11	1934/10/20	15.3	26.7
1934/10/21	1934/10/31	13.6	23.7
1934/11/1	1934/11/10	11	20.7
1934/11/11	1934/11/20	8.6	19.4
1934/11/21	1934/11/30	8.2	17.2
1934/12/1	1934/12/10	5.6	16.3
1934/12/11	1934/12/20	6.5	15.3
1934/12/21	1934/12/31	5.8	13.5
1935/1/1	1935/1/10	4.5	13.6
1935/1/11	1935/1/20	3.8	14.7
1935/1/21	1935/1/31	1.6	9.7
1935/2/1	1935/2/10	2.8	12.2
1935/2/11	1935/2/20	4.4	13.7
1935/2/21	1935/2/28	6.3	17.2
1935/3/1	1935/3/10	5.6	18
1935/3/11	1935/3/20	7.7	22.7
1935/3/21	1935/3/31	6.7	18.2
1935/4/1	1935/4/10	9.3	18.8
1935/4/11	1935/4/20	12.8	23
1935/4/21	1935/4/30	16.1	25.5
1935/5/1	1935/5/10	15.3	29.2
1935/5/11	1935/5/20	17.4	26.2
1935/5/21	1935/5/31	19	29.2
1935/6/1	1935/6/10	20.6	31
1935/6/11	1935/6/20	21.9	32.6
1935/6/21	1935/6/30	21.6	29
1935/7/1	1935/7/10	24.3	31.8
1935/7/11	1935/7/20	24.4	31.5
1935/7/21	1935/7/31	26.8	36.1
1935/8/1	1935/8/10	26.5	37.2
1935/8/11	1935/8/20	23.6	33.2
1935/8/21	1935/8/31	25.7	33.3
1935/9/1	1935/9/10	23.8	32
1935/9/11	1935/9/20	20.9	30.5
1935/9/21	1935/9/30	19.7	28.8
1935/10/1	1935/10/10	17.7	27
1935/10/11	1935/10/20	16.9	26.7
1935/10/21	1935/10/31	14.5	24.3
1935/11/1	1935/11/10	12.2	21.6
1935/11/11	1935/11/20	9.9	20.2
1935/11/21	1935/11/30	10.5	19.4
1935/12/1	1935/12/10	8.2	17.9
1935/12/11	1935/12/20	2.3	8.4
1935/12/21	1935/12/31	4.8	14.7
1936/1/1	1936/1/10	2	10.6
1936/1/11	1936/1/20	-0.1	7.3
1936/1/21	1936/1/31	0	11.2
1936/2/1	1936/2/10	-0.4	9
1936/2/11	1936/2/20	2.2	12.6
1936/2/21	1936/2/29	1.3	8.6
1936/3/1	1936/3/10	0.7	8.8
1936/3/11	1936/3/20	6.2	17.8
1936/3/21	1936/3/31	7.3	19
1936/4/1	1936/4/10	10	22.4
1936/4/11	1936/4/20	10.8	22.3
1936/4/21	1936/4/30	13.9	24.9
1936/5/1	1936/5/10	15.3	26.9
1936/5/11	1936/5/20	18	29.2
1936/5/21	1936/5/31	16.8	27.6
1936/6/1	1936/6/10	18.9	28.6
1936/6/11	1936/6/20	22	30.2
1936/6/21	1936/6/30	24.4	32.2
1936/7/1	1936/7/10	20.8	29.5
1936/7/11	1936/7/20	25.8	37
1936/7/21	1936/7/31	28.2	36.9
1936/8/1	1936/8/10	27.1	35.6
1936/8/11	1936/8/20	26.2	34.8
1936/8/21	1936/8/31	26.7	35.5
1936/9/1	1936/9/10	27.2	35.7
1936/9/11	1936/9/20	23.8	34
1936/9/21	1936/9/30	20.7	30.5
1936/10/1	1936/10/10	17.7	24.7
1936/10/11	1936/10/20	16.6	25.9
1936/10/21	1936/10/31	13.5	23.8
1936/11/1	1936/11/10	11.1	19.9
1936/11/11	1936/11/20	10.7	20.4
1936/11/21	1936/11/30	8.7	18.2
1936/12/1	1936/12/10	6.1	17.9
1936/12/11	1936/12/20	9.6	19.5
1936/12/21	1936/12/31	4.6	12
1937/1/1	1937/1/10	5.4	16.8
1937/1/11	1937/1/20	3.3	12.8
1937/1/21	1937/1/31	2.7	11.5
1937/2/1	1937/2/10	5.4	14.6
1937/2/11	1937/2/20	5.1	17.6
1937/2/21	1937/2/28	7.9	17.5
1937/3/1	1937/3/10	8.4	19.8
1937/3/11	1937/3/20	6.6	18.5
1937/3/21	1937/3/31	7.3	21.9
1937/4/1	1937/4/10	8.4	23.2
1937/4/11	1937/4/20	14.3	26.7
1937/4/21	1937/4/30	15.7	25.3
1937/5/1	1937/5/10	15.9	28.1
1937/5/11	1937/5/20	19.5	29.4
1937/5/21	1937/5/31	17.5	26
1937/6/1	1937/6/10	19.9	32.4
1937/6/11	1937/6/20	19.2	29
1937/6/21	1937/6/30	21.2	30.5
1937/7/1	1937/7/10	25.8	36.3
1937/7/11	1937/7/20	24.9	31.6
1937/7/21	1937/7/31	26.8	34.4
1937/8/1	1937/8/10	26.7	34.5
1937/8/11	1937/8/20	27.8	36.6
1937/8/21	1937/8/31	27.9	36.9
1937/9/1	1937/9/10	25.5	36.2
1937/9/11	1937/9/20	21.4	29.8
1937/9/21	1937/9/30	20.2	29
1937/10/1	1937/10/10	18.2	27.1
1937/10/11	1937/10/20	15.3	27.5
1937/10/21	1937/10/31	15.8	26
1937/11/1	1937/11/10	15	24.5
1937/11/11	1937/11/20	10.8	20.4
1937/11/21	1937/11/30	7.6	15.6
1937/12/1	1937/12/10	3.8	13.9
1937/12/11	1937/12/20	5.2	13.8
1937/12/21	1937/12/31	2.8	10.7
1938/1/1	1938/1/10	0.5	11.3
1938/1/11	1938/1/20	2.5	13.2
1938/1/21	1938/1/31	2.4	13.1
1938/2/1	1938/2/10	1.4	9.7
1938/2/11	1938/2/20	3.2	11.9
1938/2/21	1938/2/28	2.4	13.9
1938/3/1	1938/3/10	8.6	22.9
1938/3/11	1938/3/20	7	20.2
1938/3/21	1938/3/31	11.3	22.7
1938/4/1	1938/4/10	11	22.1
1938/4/11	1938/4/20	11.7	23.4
1938/4/21	1938/4/30	15.5	26.7
1938/5/1	1938/5/10	17.4	27.8
1938/5/11	1938/5/20	17.8	25.6
1938/5/21	1938/5/31	19.6	28.6
1938/6/1	1938/6/10	22	32.3
1938/6/11	1938/6/20	20.6	28.7
1938/6/21	1938/6/30	22.4	30.1
1938/7/1	1938/7/10	23.8	33.1
1938/7/11	1938/7/20	27.4	37.5
1938/7/21	1938/7/31	26.2	36.9
1938/8/1	1938/8/10	25.3	33.4
1938/8/11	1938/8/20	26.2	33.8
1938/8/21	1938/8/31	25.4	34.5
1938/9/1	1938/9/10	25.3	33.7
1938/9/11	1938/9/20	20.1	29.7
1938/9/21	1938/9/30	20.1	29.4
1938/10/1	1938/10/10	20.6	29.1
1938/10/11	1938/10/20	16	26.5
1938/10/21	1938/10/31	15.4	24.3
1938/11/1	1938/11/10	12.5	21.2
1938/11/11	1938/11/20	7.6	18.2
1938/11/21	1938/11/30	7.3	18.4
1938/12/1	1938/12/10	6.3	16.5
1938/12/11	1938/12/20	6	15.2
1938/12/21	1938/12/31	3.1	13.2
1939/1/1	1939/1/10	0.3	11.5
1939/1/11	1939/1/20	1.3	9.3
1939/1/21	1939/1/31	2.2	11.6
1939/2/1	1939/2/10	0.4	12.2
1939/2/11	1939/2/20	4.3	14.3
1939/2/21	1939/2/28	4.1	15.2
1939/3/1	1939/3/10	7.3	17.9
1939/3/11	1939/3/20	5.1	15.6
1939/3/21	1939/3/31	7.4	21.8
1939/4/1	1939/4/10	9.3	21.8
1939/4/11	1939/4/20	15.2	24.9
1939/4/21	1939/4/30	14.4	26.1
1939/5/1	1939/5/10	16.8	26.7
1939/5/11	1939/5/20	17.4	26.5
1939/5/21	1939/5/31	18.1	29.6
1939/6/1	1939/6/10	19.8	30.5
1939/6/11	1939/6/20	22.2	31.5
1939/6/21	1939/6/30	21.8	33
1939/7/1	1939/7/10	25.3	36
1939/7/11	1939/7/20	28	36.3
1939/7/21	1939/7/31	28	37.3
1939/8/1	1939/8/10	26.7	34.5
1939/8/11	1939/8/20	25.7	34.8
1939/8/21	1939/8/31	26.1	33.8
1939/9/1	1939/9/10	25.7	34.5
1939/9/11	1939/9/20	23.9	34.1
1939/9/21	1939/9/30	20.1	29.9
1939/10/1	1939/10/10	18.6	27.1
1939/10/11	1939/10/20	17.8	28
1939/10/21	1939/10/31	14.7	23
1939/11/1	1939/11/10	14.8	24
1939/11/11	1939/11/20	10.7	21.1
1939/11/21	1939/11/30	9.8	20.7
1939/12/1	1939/12/10	6	15.9
1939/12/11	1939/12/20	3.8	14.6
1939/12/21	1939/12/31	4.9	14.3
1940/1/1	1940/1/10	3.7	16.7
1940/1/11	1940/1/20	1.4	12.7
1940/1/21	1940/1/31	-0.9	7.1
1940/2/1	1940/2/10	0.4	8.1
1940/2/11	1940/2/20	3.8	11.6
1940/2/21	1940/2/29	2.1	11
1940/3/1	1940/3/10	7.3	17
1940/3/11	1940/3/20	6	17.4
1940/3/21	1940/3/31	7.2	20.5
1940/4/1	1940/4/10	9.5	21.5
1940/4/11	1940/4/20	14.1	25.7
1940/4/21	1940/4/30	14	24.8
1940/5/1	1940/5/10	16.5	28.5
1940/5/11	1940/5/20	16.7	26.7
1940/5/21	1940/5/31	19.9	34.1
1940/6/1	1940/6/10	20.7	30
1940/6/11	1940/6/20	21.3	31.5
1940/6/21	1940/6/30	23.5	31.9
1940/7/1	1940/7/10	26.7	36.8
1940/7/11	1940/7/20	25.8	33.5
1940/7/21	1940/7/31	27.4	35
1940/8/1	1940/8/10	25	34.3
1940/8/11	1940/8/20	25.8	34.6
1940/8/21	1940/8/31	24.6	34.4
1940/9/1	1940/9/10	26.5	34.2
1940/9/11	1940/9/20	22.5	31
1940/9/21	1940/9/30	20.2	29.9
1940/10/1	1940/10/10	18.9	27.8
1940/10/11	1940/10/20	18	27.8
1940/10/21	1940/10/31	15.6	25.5
1940/11/1	1940/11/10	14.4	26.3
1940/11/11	1940/11/20	11.1	21.1
1940/11/21	1940/11/30	10.6	20.3
1940/12/1	1940/12/10	8.1	16.4
1940/12/11	1940/12/20	5.3	13.4
1940/12/21	1940/12/31	4.1	12.2
1941/1/1	1941/1/10	6.1	16.4
1941/1/11	1941/1/20	3.2	13.9
1941/1/21	1941/1/31	3.6	16.2
1941/2/1	1941/2/10	1.7	12.9
1941/2/11	1941/2/20	4.5	16.7
1941/2/21	1941/2/28	5.4	17.7
1941/3/1	1941/3/10	5.2	18.9
1941/3/11	1941/3/20	10.2	23.8
1941/3/21	1941/3/31	8.1	24.2
1941/4/1	1941/4/10	9.3	20.2
1941/4/11	1941/4/20	14.9	28.5
1941/4/21	1941/4/30	13.3	22.1
1941/5/1	1941/5/10	18	30.4
1941/5/11	1941/5/20	16.3	28.1
1941/5/21	1941/5/31	19.7	29.4
1941/6/1	1941/6/10	20.6	30.4
1941/6/11	1941/6/20	20.7	28.9
1941/6/21	1941/6/30	23.5	31.8
1941/7/1	1941/7/10	26.7	35
1941/7/11	1941/7/20	22.3	29.4
1941/7/21	1941/7/31	26.2	34.1
1941/8/1	1941/8/10	26.8	35.1
1941/8/11	1941/8/20	26.3	35.6
1941/8/21	1941/8/31	25.1	33.8
1941/9/1	1941/9/10	23.1	33.4
1941/9/11	1941/9/20	21.1	30.1
1941/9/21	1941/9/30	19.4	27.2
1941/10/1	1941/10/10	19.8	29.5
1941/10/11	1941/10/20	15.1	25.1
1941/10/21	1941/10/31	14	24.8
1941/11/1	1941/11/10	12.8	22.8
1941/11/11	1941/11/20	12.1	21.6
1941/11/21	1941/11/30	11.3	19.4
1941/12/1	1941/12/10	8.1	16.6
1941/12/11	1941/12/20	5.6	14.2
1941/12/21	1941/12/31	6.3	16.5
1942/1/1	1942/1/10	2.5	12.3
1942/1/11	1942/1/20	0.9	10.5
1942/1/21	1942/1/31	3.3	11.6
1942/2/1	1942/2/10	3.3	14
1942/2/11	1942/2/20	1.2	9.4
1942/2/21	1942/2/28	4	15
1942/3/1	1942/3/10	7.3	18.5
1942/3/11	1942/3/20	11.1	21.6
1942/3/21	1942/3/31	11.8	22
1942/4/1	1942/4/10	12.1	26.2
1942/4/11	1942/4/20	11.2	22.8
1942/4/21	1942/4/30	14.6	26.4
1942/5/1	1942/5/10	15.6	24.3
1942/5/11	1942/5/20	17.2	29.1
1942/5/21	1942/5/31	18.6	28.4
1942/6/1	1942/6/10	19.8	29.3
1942/6/11	1942/6/20	22.6	31.7
1942/6/21	1942/6/30	23.1	31.4
1942/7/1	1942/7/10	26.4	37.1
1942/7/11	1942/7/20	28.7	37.8
1942/7/21	1942/7/31	30.2	38.9
1942/8/1	1942/8/10	28.5	39.9
1942/8/11	1942/8/20	27.5	38.7
1942/8/21	1942/8/31	26.6	35.1
1942/9/1	1942/9/10	26.5	34.2
1942/9/11	1942/9/20	24.3	33.4
1942/9/21	1942/9/30	21.1	28.3
1942/10/1	1942/10/10	18.2	28.8
1942/10/11	1942/10/20	15.2	24.2
1942/10/21	1942/10/31	13.5	24.3
1942/11/1	1942/11/10	11	21.4
1942/11/11	1942/11/20	8.8	19.5
1942/11/21	1942/11/30	7.4	17.9
1942/12/1	1942/12/10	5	15.5
1942/12/11	1942/12/20	4.9	13.7
1942/12/21	1942/12/31	3.9	14.8
1943/1/1	1943/1/10	1.1	9.8
1943/1/11	1943/1/20	1.3	12.8
1943/1/21	1943/1/31	1.9	13.6
1943/2/1	1943/2/10	2.3	10.8
1943/2/11	1943/2/20	2.5	14.6
1943/2/21	1943/2/28	2.6	16
1943/3/1	1943/3/10	3.5	12.1
1943/3/11	1943/3/20	7.4	20.1
1943/3/21	1943/3/31	8.2	18
1943/4/1	1943/4/10	10	21.9
1943/4/11	1943/4/20	9.4	20.5
1943/4/21	1943/4/30	14.8	26.6
1943/5/1	1943/5/10	18.4	31.9
1943/5/11	1943/5/20	17.3	27.8
1943/5/21	1943/5/31	17.9	28.5
1943/6/1	1943/6/10	21	29.3
1943/6/11	1943/6/20	22.8	30.8
1943/6/21	1943/6/30	21.9	31.1
1943/7/1	1943/7/10	22.5	31.7
1943/7/11	1943/7/20	26.2	33.1
1943/7/21	1943/7/31	26.2	34.3
1943/8/1	1943/8/10	26.6	33.2
1943/8/11	1943/8/20	26.5	35.8
1943/8/21	1943/8/31	27.4	35
1943/9/1	1943/9/10	26.3	34.8
1943/9/11	1943/9/20	25.2	33.4
1943/9/21	1943/9/30	20.2	27.8
1943/10/1	1943/10/10	18.8	26.6
1943/10/11	1943/10/20	17.7	26.6
1943/10/21	1943/10/31	13.3	23.2
1943/11/1	1943/11/10	12.2	23.1
1943/11/11	1943/11/20	10.1	20.2
1943/11/21	1943/11/30	7.4	17
1943/12/1	1943/12/10	5.6	16.1
1943/12/11	1943/12/20	4.9	14
1943/12/21	1943/12/31	5.4	15.3
1944/1/1	1944/1/10	2.1	11.2
1944/1/11	1944/1/20	2.3	12.3
1944/1/21	1944/1/31	3.3	13.4
1944/2/1	1944/2/10	2.1	13.2
1944/2/11	1944/2/20	1.4	11.6
1944/2/21	1944/2/29	2.8	12.7
1944/3/1	1944/3/10	5.1	14.5
1944/3/11	1944/3/20	6.9	17.2
1944/3/21	1944/3/31	6.2	16.6
1944/4/1	1944/4/10	9.9	21.3
1944/4/11	1944/4/20	10.6	19.3
1944/4/21	1944/4/30	12.8	23.8
1944/5/1	1944/5/10	17.8	29.9
1944/5/11	1944/5/20	19	26.2
1944/5/21	1944/5/31	18.5	28.1
1944/6/1	1944/6/10	21	31.6
1944/6/11	1944/6/20	22.2	31.7
1944/6/21	1944/6/30	24.7	34.8
1944/7/1	1944/7/10	24.8	34.7
1944/7/11	1944/7/20	28.7	37.8
1944/7/21	1944/7/31	24.9	32.3
1944/8/1	1944/8/10	26.7	35.1
1944/8/11	1944/8/20	27.4	35.5
1944/8/21	1944/8/31	26.1	34.1
1944/9/1	1944/9/10	25.7	35.9
1944/9/11	1944/9/20	22.5	30.1
1944/9/21	1944/9/30	19.8	29.9
1944/10/1	1944/10/10	17.9	25.6
1944/10/11	1944/10/20	15.9	25.7
1944/10/21	1944/10/31	14.9	23.3
1944/11/1	1944/11/10	12.4	22.9
1944/11/11	1944/11/20	9	18.1
1944/11/21	1944/11/30	10.6	20.2
1944/12/1	1944/12/10	5.9	13.5
1944/12/11	1944/12/20	2.9	11.9
1944/12/21	1944/12/31	2.6	11.8
1945/1/1	1945/1/10	1.2	9.6
1945/1/11	1945/1/20	0.7	8.7
1945/1/21	1945/1/31	-0.7	9.9
1945/2/1	1945/2/10	0.2	12.8
1945/2/11	1945/2/20	1.3	10.3
1945/2/21	1945/2/28	1.7	13.7
1945/3/1	1945/3/10	5.2	15
1945/3/11	1945/3/20	3.7	13.3
1945/3/21	1945/3/31	10.2	25.8
1945/4/1	1945/4/10	10.8	23.8
1945/4/11	1945/4/20	14.3	27.7
1945/4/21	1945/4/30	15.4	29.6
1945/5/1	1945/5/10	14.1	23.1
1945/5/11	1945/5/20	14.7	23.1
1945/5/21	1945/5/31	18.3	31.4
1945/6/1	1945/6/10	20.4	30.6
1945/6/11	1945/6/20	20.9	32.2
1945/6/21	1945/6/30	22.9	32.9
1945/7/1	1945/7/10	23.3	32.6
1945/7/11	1945/7/20	23.1	32.3
1945/7/21	1945/7/31	22.8	31.3
1945/8/1	1945/8/10	27	36.5
1945/8/11	1945/8/20	28.4	36.5
1945/8/21	1945/8/31	26.3	36.4
1945/9/1	1945/9/10	24.6	33.5
1945/9/11	1945/9/20	23.7	32.3
1945/9/21	1945/9/30	20.1	29.6
1945/10/1	1945/10/10	20.1	29.6
1945/10/11	1945/10/20	16.4	27.6
