yyyymm	yyyymm2	av	hi
1914/2/1	1914/2/10	2.8	11.3
1914/2/11	1914/2/20	5.6	15.8
1914/2/21	1914/2/28	6	14.5
1914/3/1	1914/3/10	9.9	21.9
1914/3/11	1914/3/20	8	19.4
1914/3/21	1914/3/31	9.9	20.3
1914/4/1	1914/4/10	8.1	20.9
1914/4/11	1914/4/20	11.5	23.9
1914/4/21	1914/4/30	16.4	26.3
1914/5/1	1914/5/10	16.4	26.9
1914/5/11	1914/5/20	19.5	26.4
1914/5/21	1914/5/31	18.6	26.9
1914/6/1	1914/6/10	21.8	30.1
1914/6/11	1914/6/20	21.4	29.4
1914/6/21	1914/6/30	23.9	34.6
1914/7/1	1914/7/10	27.3	35.4
1914/7/11	1914/7/20	27.3	35.2
1914/7/21	1914/7/31	28.6	36.1
1914/8/1	1914/8/10	28.7	36.1
1914/8/11	1914/8/20	27.1	34.3
1914/8/21	1914/8/31	27	34.6
1914/9/1	1914/9/10	26.9	33.6
1914/9/11	1914/9/20	24.5	31.9
1914/9/21	1914/9/30	19.8	31
1914/10/1	1914/10/10	17.6	25.9
1914/10/11	1914/10/20	16.2	28.2
1914/10/21	1914/10/31	14.5	25.7
1914/11/1	1914/11/10	15.7	24.4
1914/11/11	1914/11/20	13.9	22.1
1914/11/21	1914/11/30	7.6	17.7
1914/12/1	1914/12/10	8.5	20.3
1914/12/11	1914/12/20	4.4	12.7
1914/12/21	1914/12/31	4	13.3
1915/1/1	1915/1/10	4.2	12.3
1915/1/11	1915/1/20	1	10.7
1915/1/21	1915/1/31	4.5	15.2
1915/2/1	1915/2/10	4.3	13.2
1915/2/11	1915/2/20	4	12.3
1915/2/21	1915/2/28	5.9	12.7
1915/3/1	1915/3/10	6.9	17.1
1915/3/11	1915/3/20	5.1	15.5
1915/3/21	1915/3/31	6.1	15.8
1915/4/1	1915/4/10	12	23.4
1915/4/11	1915/4/20	13.9	23.7
1915/4/21	1915/4/30	12.6	20.4
1915/5/1	1915/5/10	15.9	28.9
1915/5/11	1915/5/20	16.2	25.4
1915/5/21	1915/5/31	19	29.7
1915/6/1	1915/6/10	20.9	27.6
1915/6/11	1915/6/20	25.3	35
1915/6/21	1915/6/30	23.9	30.7
1915/7/1	1915/7/10	22.7	31.5
1915/7/11	1915/7/20	27.9	36.4
1915/7/21	1915/7/31	28.1	34.3
1915/8/1	1915/8/10	27	35.1
1915/8/11	1915/8/20	27.5	33.6
1915/8/21	1915/8/31	25.7	34.1
1915/9/1	1915/9/10	25	32.5
1915/9/11	1915/9/20	24.2	31.5
1915/9/21	1915/9/30	23.2	30.7
1915/10/1	1915/10/10	22.3	29.5
1915/10/11	1915/10/20	17.7	25.9
1915/10/21	1915/10/31	16.4	26.4
1915/11/1	1915/11/10	14.7	24.4
1915/11/11	1915/11/20	11.6	19.9
1915/11/21	1915/11/30	10.3	21.5
1915/12/1	1915/12/10	6.2	15.8
1915/12/11	1915/12/20	4.3	15.9
1915/12/21	1915/12/31	6.8	16.8
1916/1/1	1916/1/10	6	14.9
1916/1/11	1916/1/20	3.8	12.7
1916/1/21	1916/1/31	6	16.3
1916/2/1	1916/2/10	5.8	14.2
1916/2/11	1916/2/20	2.8	10.1
1916/2/21	1916/2/29	6.8	17.8
1916/3/1	1916/3/10	4.3	12.8
1916/3/11	1916/3/20	5.3	14.8
1916/3/21	1916/3/31	6.8	19.3
1916/4/1	1916/4/10	9.7	23.2
1916/4/11	1916/4/20	13.6	23.5
1916/4/21	1916/4/30	16	23.6
1916/5/1	1916/5/10	15.8	26.3
1916/5/11	1916/5/20	18.6	28.7
1916/5/21	1916/5/31	19.1	26.8
1916/6/1	1916/6/10	22.6	31.8
1916/6/11	1916/6/20	23.6	29.6
1916/6/21	1916/6/30	24.2	33.2
1916/7/1	1916/7/10	24.6	31.5
1916/7/11	1916/7/20	25.7	33.7
1916/7/21	1916/7/31	26.8	33
1916/8/1	1916/8/10	27.2	34.7
1916/8/11	1916/8/20	27	34.1
1916/8/21	1916/8/31	26.4	33.4
1916/9/1	1916/9/10	26.9	33.6
1916/9/11	1916/9/20	24.4	33.1
1916/9/21	1916/9/30	22	31.3
1916/10/1	1916/10/10	17.9	24.8
1916/10/11	1916/10/20	17.1	25.4
1916/10/21	1916/10/31	16.4	25.7
1916/11/1	1916/11/10	14.4	23.5
1916/11/11	1916/11/20	12.4	21.4
1916/11/21	1916/11/30	11.3	19.1
1916/12/1	1916/12/10	10.7	18.2
1916/12/11	1916/12/20	6.6	14.9
1916/12/21	1916/12/31	3.7	13.7
1917/1/1	1917/1/10	0.7	11.3
1917/1/11	1917/1/20	2.4	11.2
1917/1/21	1917/1/31	1.7	9.8
1917/2/1	1917/2/10	1.7	9.5
1917/2/11	1917/2/20	4.5	16.3
1917/2/21	1917/2/28	4.3	16.7
1917/3/1	1917/3/10	4.2	13.6
1917/3/11	1917/3/20	7.7	16
1917/3/21	1917/3/31	7.3	17.1
1917/4/1	1917/4/10	12.2	22.9
1917/4/11	1917/4/20	13.6	21.4
1917/4/21	1917/4/30	12.8	22
1917/5/1	1917/5/10	13.4	21.8
1917/5/11	1917/5/20	16	28.5
1917/5/21	1917/5/31	18.5	28.2
1917/6/1	1917/6/10	18.1	28.8
1917/6/11	1917/6/20	20.9	30.6
1917/6/21	1917/6/30	24.4	33.6
1917/7/1	1917/7/10	25.6	32.4
1917/7/11	1917/7/20	27.5	35.2
1917/7/21	1917/7/31	28.7	36
1917/8/1	1917/8/10	28.1	34.8
1917/8/11	1917/8/20	26.3	34.6
1917/8/21	1917/8/31	24.3	31
1917/9/1	1917/9/10	24.9	31.9
1917/9/11	1917/9/20	23	29.7
1917/9/21	1917/9/30	22.8	30.6
1917/10/1	1917/10/10	18.7	25.9
1917/10/11	1917/10/20	19	28.1
1917/10/21	1917/10/31	15	23.7
1917/11/1	1917/11/10	9.7	19.4
1917/11/11	1917/11/20	7.3	16.4
1917/11/21	1917/11/30	7.3	16.9
1917/12/1	1917/12/10	5.3	14.6
1917/12/11	1917/12/20	3.8	11
1917/12/21	1917/12/31	0.5	9.2
1918/1/1	1918/1/10	0.4	7.5
1918/1/11	1918/1/20	1.1	9.5
1918/1/21	1918/1/31	1.6	8.5
1918/2/1	1918/2/10	3.9	13.3
1918/2/11	1918/2/20	2.1	11.8
1918/2/21	1918/2/28	5	17.7
1918/3/1	1918/3/10	5.8	16.4
1918/3/11	1918/3/20	7.4	19.9
1918/3/21	1918/3/31	7.8	16.2
1918/4/1	1918/4/10	11.1	18.4
1918/4/11	1918/4/20	13.3	25.3
1918/4/21	1918/4/30	14	23.3
1918/5/1	1918/5/10	15	23.8
1918/5/11	1918/5/20	16.5	25.8
1918/5/21	1918/5/31	18.3	29.7
1918/6/1	1918/6/10	19	27.2
1918/6/11	1918/6/20	21.1	28.8
1918/6/21	1918/6/30	23.3	31.9
1918/7/1	1918/7/10	26.7	35.2
1918/7/11	1918/7/20	25.8	32
1918/7/21	1918/7/31	28.1	35.3
1918/8/1	1918/8/10	27.3	35.3
1918/8/11	1918/8/20	26.8	33.8
1918/8/21	1918/8/31	25.8	32.2
1918/9/1	1918/9/10	25.3	32
1918/9/11	1918/9/20	23.3	31.7
1918/9/21	1918/9/30	19.2	26.8
1918/10/1	1918/10/10	18.8	26.9
1918/10/11	1918/10/20	18.3	27.1
1918/10/21	1918/10/31	13.3	23.5
1918/11/1	1918/11/10	13.6	23.5
1918/11/11	1918/11/20	8.5	16.4
1918/11/21	1918/11/30	8.6	19.2
1918/12/1	1918/12/10	6.3	15
1918/12/11	1918/12/20	4	13.9
1918/12/21	1918/12/31	4.2	12.4
1919/1/1	1919/1/10	3	10.8
1919/1/11	1919/1/20	4.3	14.3
1919/1/21	1919/1/31	2.4	8.7
1919/2/1	1919/2/10	1.5	9.4
1919/2/11	1919/2/20	4.9	16.7
1919/2/21	1919/2/28	7.9	15
1919/3/1	1919/3/10	8.7	19.2
1919/3/11	1919/3/20	8.1	21.8
1919/3/21	1919/3/31	8.6	21.2
1919/4/1	1919/4/10	13.3	24.5
1919/4/11	1919/4/20	13.1	22.8
1919/4/21	1919/4/30	14.7	23.3
1919/5/1	1919/5/10	17.3	26.8
1919/5/11	1919/5/20	16.7	28.5
1919/5/21	1919/5/31	18.6	27.7
1919/6/1	1919/6/10	21.7	31.5
1919/6/11	1919/6/20	21.1	30.6
1919/6/21	1919/6/30	22.4	31.9
1919/7/1	1919/7/10	23.1	30.9
1919/7/11	1919/7/20	25.9	32.1
1919/7/21	1919/7/31	25.3	32.8
1919/8/1	1919/8/10	26.4	33.5
1919/8/11	1919/8/20	25.1	32.5
1919/8/21	1919/8/31	26.9	34.4
1919/9/1	1919/9/10	25.6	33.9
1919/9/11	1919/9/20	22.2	30.2
1919/9/21	1919/9/30	19.7	28.6
1919/10/1	1919/10/10	19.3	28.2
1919/10/11	1919/10/20	16.3	23.9
1919/10/21	1919/10/31	15.2	23.7
1919/11/1	1919/11/10	14.8	23.7
1919/11/11	1919/11/20	13	21.4
1919/11/21	1919/11/30	9	19.6
1919/12/1	1919/12/10	8.2	17.4
1919/12/11	1919/12/20	3.8	11.3
1919/12/21	1919/12/31	4.5	12.3
1920/1/1	1920/1/10	3.3	11.2
1920/1/11	1920/1/20	3.5	13.2
1920/1/21	1920/1/31	4	13.7
1920/2/1	1920/2/10	4.2	12.7
1920/2/11	1920/2/20	2.5	13.1
1920/2/21	1920/2/29	3.2	10.3
1920/3/1	1920/3/10	5.1	20.1
1920/3/11	1920/3/20	8.3	16.5
1920/3/21	1920/3/31	9.4	20
1920/4/1	1920/4/10	12.3	19.2
1920/4/11	1920/4/20	14.2	25.3
1920/4/21	1920/4/30	12.8	26.3
1920/5/1	1920/5/10	18.4	26.4
1920/5/11	1920/5/20	16.9	25.5
1920/5/21	1920/5/31	18.8	27.9
1920/6/1	1920/6/10	21.2	31.5
1920/6/11	1920/6/20	23	31.7
1920/6/21	1920/6/30	22.7	32.5
1920/7/1	1920/7/10	26.7	35.1
1920/7/11	1920/7/20	27.2	33.1
1920/7/21	1920/7/31	26.7	33.5
1920/8/1	1920/8/10	25	31.5
1920/8/11	1920/8/20	26.9	34.5
1920/8/21	1920/8/31	26.2	33.7
1920/9/1	1920/9/10	25.5	33.3
1920/9/11	1920/9/20	21.2	29.3
1920/9/21	1920/9/30	21.2	27.5
1920/10/1	1920/10/10	18.2	26.8
1920/10/11	1920/10/20	17.2	26.7
1920/10/21	1920/10/31	15.4	26
1920/11/1	1920/11/10	14.7	23.8
1920/11/11	1920/11/20	11.7	20.7
1920/11/21	1920/11/30	9.7	18.8
1920/12/1	1920/12/10	7.5	19.3
1920/12/11	1920/12/20	6.8	15.7
1920/12/21	1920/12/31	3.3	12
1921/1/1	1921/1/10	4.5	12.4
1921/1/11	1921/1/20	3.8	11.4
1921/1/21	1921/1/31	3.9	13.1
1921/2/1	1921/2/10	3.2	13.2
1921/2/11	1921/2/20	3.2	11.3
1921/2/21	1921/2/28	3.8	18.9
1921/3/1	1921/3/10	4.7	14.8
1921/3/11	1921/3/20	5.7	14.4
1921/3/21	1921/3/31	6.5	18.1
1921/4/1	1921/4/10	10.4	20.9
1921/4/11	1921/4/20	14.2	25.1
1921/4/21	1921/4/30	16.3	25.2
1921/5/1	1921/5/10	18.5	28.6
1921/5/11	1921/5/20	16.7	25.8
1921/5/21	1921/5/31	17.8	29
1921/6/1	1921/6/10	18.1	27
1921/6/11	1921/6/20	20	28.4
1921/6/21	1921/6/30	20.6	27.8
1921/7/1	1921/7/10	25.3	31.8
1921/7/11	1921/7/20	25.5	31.3
1921/7/21	1921/7/31	25.8	33.3
1921/8/1	1921/8/10	27	35.5
1921/8/11	1921/8/20	27.7	34.6
1921/8/21	1921/8/31	26.1	35.6
1921/9/1	1921/9/10	23.3	32
1921/9/11	1921/9/20	21.2	30.5
1921/9/21	1921/9/30	22	30.7
1921/10/1	1921/10/10	19.1	26.6
1921/10/11	1921/10/20	16.6	25.7
1921/10/21	1921/10/31	13.6	21.7
1921/11/1	1921/11/10	9.7	19.5
1921/11/11	1921/11/20	9	20.6
1921/11/21	1921/11/30	5.9	17.6
1921/12/1	1921/12/10	5.3	15.1
1921/12/11	1921/12/20	7.5	15.8
1921/12/21	1921/12/31	3.5	12.1
1922/1/1	1922/1/10	2	10.1
1922/1/11	1922/1/20	1.5	11.7
1922/1/21	1922/1/31	0.7	7.2
1922/2/1	1922/2/10	4.5	16.3
1922/2/11	1922/2/20	8	16.5
1922/2/21	1922/2/28	9.6	20.4
1922/3/1	1922/3/10	5.1	14.2
